id,firstCapture
56697,20130510
56698,20130510
56704,20130510
56706,20130511
56730,20130503
56770,20130429
56772,20130429
56776,20130511
56783,20130429
56823,20130510
56829,20130511
56831,20130510
56832,20130429
56848,20130503
56908,20130429
56911,20130429
56917,20130429
56931,20130503
56946,20130503
56993,20130503
57002,20130429
57029,20130617
57083,20130503
57085,20130503
57090,20130503
57091,20130503
57134,20130617
57153,20130617
57161,20130617
57163,20130617
57178,20130617
57180,20130617
57200,20130617
57202,20130503
57260,20130723
57261,20130723
57262,20130723
57263,20130723
57264,20130723
57270,20130723
57271,20130723
57272,20130723
57273,20130723
57274,20130723
57275,20130723
57276,20130723
57277,20130723
57278,20130723
57279,20130723
57287,20130723
57289,20130723
57290,20130723
57291,20130723
57292,20130723
57293,20130723
57294,20130723
57295,20130723
57296,20130723
57297,20130723
57298,20130723
57299,20130723
57300,20130723
57301,20130723
57302,20130723
57303,20130723
57304,20130723
57306,20130723
57309,20130723
57310,20130723
57311,20130723
57312,20130723
57313,20130723
57314,20130723
57315,20130723
57316,20130723
57317,20130723
57318,20130723
57319,20130723
57320,20130723
57321,20130723
57322,20130723
57323,20130723
57324,20130723
57329,20130723
57332,20130723
57341,20130723
57342,20130723
57361,20130723
57366,20130723
57367,20130723
57369,20130723
57387,20130723
57388,20130723
57389,20130723
57400,20130723
57407,20130723
57408,20130723
57409,20130723
57423,20130723
57445,20130723
57446,20130723
57447,20130723
57448,20130723
57449,20130723
57450,20130723
57451,20130723
57452,20130723
57455,20130723
57471,20130723
57642,20131127
58404,20180630
59267,20130719
59306,20130718
59330,20130718
59359,20130719
59390,20130719
59391,20130719
59461,20130719
59492,20130718
59541,20130719
59544,20130719
59546,20130719
59547,20130718
59548,20130718
59549,20130719
59801,20130719
59803,20130718
59804,20250215
59826,20130718
59842,20130718
61056,20130821
61115,20130831
61129,20130821
61998,20130831
62007,20130831
62042,20130831
62096,20130831
62112,20130821
62370,20180703
62970,20130827
63000,20130827
63071,20130827
63073,20130827
63076,20130827
63077,20130827
63146,20130827
63150,20130827
63255,20180701
63330,20180701
63556,20180703
63979,20130913
64041,20130913
65136,20130913
65456,20130913
65459,20130913
65466,20130913
65541,20130913
65546,20130913
65547,20180702
66063,20180702
66942,20130926
67799,20130926
67812,20130926
68393,20130926
68396,20130926
68408,20130926
68410,20130926
68674,20130926
68677,20130926
68784,20210811
68785,20180704
69187,20130926
71750,20250815
73060,20131013
74032,20180703
74898,20221213
75433,20131021
75436,20221213
75723,20230204
75724,20131021
75732,20131021
75740,20131021
75960,20221213
76109,20221213
76342,20131025
76383,20131021
76387,20131021
76579,20221213
76581,20131021
76582,20221213
76597,20131021
76604,20221213
79137,20131106
79141,20131106
79183,20131106
79386,20131106
80382,20131106
80656,20131106
80672,20131106
80674,20131106
82560,20230410
82626,20131120
82650,20131120
82902,20131120
82989,20131120
83697,20131120
83716,20131120
84347,20131120
84357,20131120
88182,20150428
89842,20140114
92060,20180702
92303,20131231
92374,20150905
96006,20180701
96007,20180704
96024,20180702
97872,20180701
98093,20140118
98102,20140118
98115,20140118
98450,20140118
98599,20140120
98600,20140120
98601,20140120
98602,20140120
98603,20140120
98604,20140120
98605,20140120
98606,20140120
98607,20140120
98608,20140120
98609,20140120
98610,20140120
98611,20140120
98612,20140120
98613,20140120
98614,20140120
98615,20140120
98616,20140120
98617,20140120
98618,20140120
98619,20140120
98620,20140120
98621,20140120
98622,20140120
98623,20140120
98624,20140120
98625,20140120
98626,20140120
98627,20140120
98628,20140120
98629,20140120
98630,20140120
98631,20140120
98632,20140120
98633,20140120
98634,20140120
98635,20140120
98636,20140120
98637,20140120
98638,20140120
98639,20140120
98640,20140120
98641,20140120
98642,20140120
98643,20140120
98644,20140120
98645,20140120
98646,20140120
98938,20140118
98960,20140118
98961,20140118
98969,20140118
101123,20140305
101124,20191121
105415,20140411
106599,20180630
107454,20180701
111664,20180701
114813,20180704
114816,20180701
165298,20140505
165299,20140505
165300,20140505
165301,20140505
165302,20140505
168035,20140505
168036,20140505
168038,20140505
168041,20140529
168062,20140505
168064,20140505
183603,20250815
192964,20140529
192968,20140529
192969,20140529
192972,20140529
192974,20140529
192975,20140529
192977,20140529
192978,20140529
192986,20140529
193449,20140529
226395,20140625
226396,20140625
226397,20140625
226398,20140625
226399,20140625
226400,20140625
226401,20140625
226402,20140625
226403,20140625
226454,20140625
226455,20140625
231489,20140625
234078,20140625
234180,20140704
234181,20140625
234183,20140625
234187,20140704
234195,20140625
234196,20140704
234199,20140704
234201,20140625
236269,20140704
236270,20140817
236271,20140817
236272,20140817
236273,20140817
236274,20140704
236275,20140817
236276,20140817
236277,20140817
236278,20140817
236528,20140704
236539,20140704
236545,20140704
236593,20140704
236594,20140708
237469,20140817
237470,20140817
237471,20140704
237482,20140817
237483,20140817
237484,20140817
237485,20140817
237486,20140704
237487,20140817
237488,20140817
237489,20140817
237490,20140817
237491,20140704
237509,20140704
237510,20140817
237511,20140817
237512,20140817
237513,20140817
237514,20140817
237515,20140704
237516,20140704
237517,20140817
237518,20140817
239761,20140817
239762,20140817
239763,20140817
239764,20140817
239765,20140817
239766,20140817
239767,20140817
239768,20140817
243851,20140817
243852,20140817
243853,20140817
243854,20140817
243855,20140817
243856,20140817
243857,20140817
243858,20140817
243859,20140817
243860,20140817
243861,20140817
243862,20140817
243863,20140817
243864,20140817
243865,20140817
243866,20140817
243867,20140817
243868,20140817
243869,20140817
243870,20140817
243871,20140817
243872,20140817
243873,20140817
243874,20140817
243875,20140817
243876,20140817
243878,20140817
244109,20140817
244110,20140817
244111,20140817
244112,20140817
244113,20140817
244114,20140817
244115,20140817
244116,20140817
244815,20140817
244816,20140817
244817,20140817
244841,20140817
244842,20140817
244843,20140817
244844,20140817
244845,20140817
244846,20140817
244847,20140817
244848,20140817
244849,20140817
244851,20140817
244858,20140817
244863,20140817
244866,20140817
246803,20140817
247490,20140817
247560,20140817
247561,20140817
247562,20140817
247563,20140817
247564,20140817
247565,20140817
247566,20140817
247567,20140817
247568,20140817
247569,20140817
339502,20140919
339503,20140919
339560,20140919
339583,20140919
339600,20140919
341510,20140919
341511,20140919
341512,20140919
341513,20140919
341711,20140920
344215,20140920
344316,20140920
344326,20140920
344716,20140920
344719,20140920
344723,20140920
344733,20140920
344738,20140919
359976,20141012
360094,20141012
362664,20141012
362669,20141012
366921,20141012
366941,20141012
367904,20141012
367906,20141012
367967,20141012
368263,20141012
384190,20141028
387186,20141028
387191,20141028
387430,20141028
387673,20141028
387675,20190822
387830,20141029
387831,20141029
387832,20141029
387833,20141029
387834,20141028
387835,20141029
387836,20141028
387837,20141029
387838,20141029
387839,20141029
387883,20141028
395139,20141113
396732,20141113
397768,20141113
397770,20141113
397771,20141113
401613,20141113
401680,20141113
401939,20141113
402534,20141128
402569,20141128
402571,20141129
402616,20141128
402637,20141128
402638,20141128
402656,20141128
402712,20141129
409900,20141128
412769,20141128
423211,20141204
423212,20141204
423214,20141204
429802,20141204
438192,20141204
438495,20141204
438510,20141204
473442,20150108
473480,20150108
473594,20150108
473710,20150107
473711,20150107
473712,20150107
473713,20150107
473714,20150107
473715,20150107
473716,20150107
473717,20150107
473718,20150107
473724,20150107
473916,20150110
474033,20150108
474035,20150108
474036,20150108
474039,20150108
474067,20150123
475757,20150108
479799,20150128
482130,20201108
482131,20250819
482132,20201108
482730,20250815
493544,20150126
493554,20150126
493580,20150126
493582,20150126
493586,20150126
493590,20150126
493596,20150126
493627,20150126
493628,20150126
493922,20150126
499400,20150129
499401,20150129
499404,20150129
499405,20150128
499408,20150129
499409,20150129
499620,20150128
499621,20150128
499622,20150129
499623,20150129
499624,20150129
499625,20150129
499628,20150128
499630,20150128
499631,20150129
499633,20150129
499634,20150129
499638,20150129
501664,20150128
501675,20150129
501678,20150129
501682,20150129
501685,20150129
501694,20150129
501798,20150129
501801,20150129
501881,20150129
501883,20150129
501885,20150129
501889,20150129
501898,20150129
502390,20150129
502391,20150129
502673,20150129
502679,20150129
502824,20150129
513344,20150225
513345,20150225
513346,20150225
515731,20150219
519067,20150217
519068,20150217
519069,20150217
519070,20150217
519071,20150217
519072,20150217
519073,20150217
519074,20150217
519075,20150217
519082,20150220
519087,20150223
519302,20150219
519324,20150219
519498,20150223
519502,20150223
519514,20150223
519515,20210921
519523,20150223
519526,20150223
519537,20150223
519538,20150217
523175,20150219
523176,20150219
523177,20150219
523178,20150219
523179,20150219
523180,20150219
523181,20150219
523182,20150219
523183,20150219
523184,20150219
523199,20150219
523207,20150219
523211,20150219
523225,20150219
523233,20150217
523236,20150219
533037,20150227
533038,20150222
533039,20150222
533040,20150227
533041,20150227
533042,20150227
533043,20150227
533045,20150222
533057,20150222
533073,20150222
533085,20150227
535643,20150227
535644,20150227
535645,20150227
535646,20150227
535647,20150222
535648,20150227
539491,20150302
539493,20150227
539514,20150302
539521,20150302
539528,20150302
539531,20150302
539541,20150227
539549,20150302
539559,20150227
539560,20150302
540311,20150228
540329,20150228
540374,20150302
547733,20150311
547749,20150311
547758,20150311
547911,20150311
547935,20150406
547942,20150406
547944,20150406
547945,20150406
547946,20150406
547947,20150406
547948,20150406
547949,20150406
547950,20150406
547951,20150406
547952,20150907
547953,20150908
547954,20150908
547955,20150908
547956,20150908
547957,20150908
547958,20150908
556571,20150406
556572,20150406
556573,20150402
556574,20150406
556575,20150406
556576,20150406
556577,20150406
556578,20150406
556579,20150406
556660,20150406
556661,20150406
556662,20150406
556663,20150406
556664,20150330
556665,20150402
556666,20150406
556667,20150406
556668,20150406
556669,20150406
556670,20150311
556671,20150406
556672,20150317
556673,20150406
556674,20150330
556675,20150402
556676,20150407
556677,20150330
556679,20150406
556680,20150406
556681,20150317
556682,20150406
556683,20150406
556688,20150406
556689,20150418
556695,20150406
556696,20150406
556699,20150330
556701,20150402
556704,20150406
556705,20150330
556706,20150406
556707,20150406
556710,20150406
556713,20150418
556715,20150311
556717,20150311
556718,20150330
556720,20150317
556721,20150317
556722,20150406
556723,20150317
556726,20150418
556727,20150402
556730,20150406
556731,20150406
556732,20150406
556733,20150406
556734,20150406
556735,20150406
556736,20150406
556738,20150317
556739,20150317
556743,20150317
556746,20150418
556749,20150510
556752,20150311
556756,20150330
556757,20150402
556758,20150406
556761,20150418
558902,20150406
558903,20150406
558904,20150406
558905,20150406
558906,20150406
558907,20150330
563404,20150406
563406,20150406
563412,20150319
563413,20150510
563420,20150406
563421,20150406
563422,20150406
563423,20150406
563432,20150406
563435,20150418
563445,20150406
563446,20150510
563450,20150605
563452,20150605
563467,20150418
563478,20150406
563484,20150418
563489,20150418
563496,20150418
563504,20150418
563505,20150510
563510,20150510
563514,20150406
563517,20150418
563518,20150406
563519,20150418
563520,20150418
